order_id,internal_id,customer_id,store_id,store_name_ar,store_name_en,internal_store_id,driver_id,order_details_text,amount,created_at,payment_method,orders_type,location_latitude,location_longitude,delivery_fee,coupon_code,completed_at,delivery_duration,related_rating
"c250cca2-e4f3-4b20-8712-fbf082a33cc4","1","7","cae932bc-3304-464c-8184-78cbab1f3d1f","صحة","ألعاب","5","10","المعجل ديون سأفتح التي أتذكر.","929407.27","2025-05-24T07:50:33.388Z","wallet_and_cach","take_away","33.4665703","36.3290103","8.74285271695179","wbJhXfEu","2025-05-24T02:20:40.209Z","45","5"
"2d7c87e5-2ebf-4944-9b1c-370010839fda","21","2","d099223a-610f-4ece-988c-a907be868339","أطفال","أطفال","17","4","آخرون عباس كاحل ظل يفعل مهدئ يتعلم شعر يتذكر يرتفع.","698125.2","2025-05-24T14:42:28.803Z","cach","NULL","33.48942193","36.2326534","12.698667332848341","iANkXIATuBzEog","2025-05-24T12:28:36.658Z","17","1"
"a699fbd3-566f-4d95-aee3-538597bbe15e","22","11","3257348f-05e1-422f-8257-36023ebe5a5b","السيارات","أحذية","8","4","يشمل مرحبًا نعل يجب كريم مقابلة ايقاد أحد نكون برعاية.","471979.44","2025-05-24T04:47:15.916Z","cach","NULL","33.51051331","36.20284546","17.655353183456775","oGsaHwD","2025-05-24T07:31:30.100Z","14","2"
"fb969861-e5fb-45d3-9668-dc9bf194eea5","23","20","fc0f2d72-4773-49b3-9b1d-9e038a1e3673","أغراض رياضية","بقالة","16","7","صيف ساحقة ينتقد اناقش نظيف انعش ويل.","318177.74","2025-05-24T06:26:57.154Z","online","take_away","33.54144418","36.30114716","13.213276782918848","ChNpTgCsqzzxCv","2025-05-24T12:49:58.942Z","40","5"
"d1c99cea-8953-4477-9389-dda825cdc975","26","9","f76d6d36-cc00-4bf7-b018-1ae32ac9b182","حديقة","مجوهرات","12","1","آلام أسقط أركل اجد.","300864.23","2025-05-24T00:29:33.684Z","wallet_and_online","take_away","33.46753871","36.26455508","9.412438774313774","oJiJmUDCJBt","2025-05-24T09:54:06.786Z","32","3"
"1f1662b2-2fa6-4482-b5eb-d7b3dc06a94b","29","10","c290e594-7a15-4961-ac03-bee80f2f8840","كتب","السيارات","26","5","امن رجل ربط عن يقولون خلف ماهر مواطن يترتب.","411945.95","2025-05-23T21:29:44.466Z","wallet_and_online","NULL","33.46875952","36.34245919","17.670227504334182","LzNvZRMtZQum","2025-05-24T05:11:10.809Z","27","2"
"914b14f3-bb12-4dad-ade5-115ef6a660c7","30","14","d099223a-610f-4ece-988c-a907be868339","أطفال","أطفال","17","4","قَوس اقتراح يقام.","329542.16","2025-05-24T03:22:10.158Z","wallet","take_away","33.49080961","36.23461725","14.482484239826315","BQBprcet","2025-05-24T01:02:25.459Z","40","1"
"5bd0e870-e38b-43c0-8d82-b4efb06b7784","32","19","d3e77525-4d4c-4593-a809-61939d7427c0","بقالة","صناعة","23","5","أبدي متوسط الطريق قال طعام نفسه.","508048.14","2025-05-24T15:32:45.118Z","wallet","delivery","33.465477310000004","36.24991677","10.586555626604834","pMSmiTd","2025-05-23T22:39:20.555Z","59","5"
"233bdf8b-1b24-4d0d-ada8-b5852f597da2","35","14","e3fc9b0a-2417-46a1-beed-a6fc5f56a920","صناعة","في الهواء الطلق","18","2","معتاد استطيع سرور سريع الدير محل أرض.","400788.46","2025-05-23T23:25:40.630Z","wallet_and_online","delivery","33.53531736","36.33281678","16.083522672263634","ChNpTgCsqzzxCv","2025-05-24T05:56:12.710Z","46","5"
"4d137159-81c3-4c27-ac9f-0552c9e55a5a","37","8","d099223a-610f-4ece-988c-a907be868339","أطفال","أطفال","17","6","أين تتدفق تاج.","292032.85","2025-05-24T10:28:23.152Z","wallet_and_cach","delivery","33.48686581","36.31273242","15.182882349650525","BQBprcet","2025-05-24T08:15:13.116Z","28","4"
